description,max.score,total.score,query.cover,e.value,perc.ident,accession
uncharacterized protein CJI97_004172 [[Candida] auris],649,649,59%,0,100,XP_028889033.1
uncharacterized protein CJI97_004560 [[Candida] auris],530,530,58%,3.00E-168,82.82,XP_028888611.1
hypothetical protein CXQ85_003766 [[Candida] haemuloni],518,518,57%,1.00E-160,81.31,XP_025344416.1
hypothetical protein C7M61_003292 [[Candida] pseudohaemulonis],487,487,58%,6.00E-150,76.69,XP_024713121.1
uncharacterized protein CXQ87_001664 [[Candida] duobushaemulonis],486,486,58%,1.00E-149,74.77,XP_025334498.1
hypothetical protein CXQ85_003757 [[Candida] haemuloni],484,484,56%,5.00E-149,77.5,XP_025344407.1
uncharacterized protein CXQ87_005018 [[Candida] duobushaemulonis],478,478,58%,2.00E-148,74.85,XP_025335682.1
hypothetical protein CXQ85_003952 [[Candida] haemuloni],457,457,58%,5.00E-144,72.09,XP_025344601.1
hypothetical protein CXQ85_004563 [[Candida] haemuloni],422,422,59%,2.00E-131,63.86,XP_025342839.1
hypothetical protein C7M61_003290 [[Candida] pseudohaemulonis],409,409,56%,9.00E-131,65.71,XP_024713119.1
uncharacterized protein CXQ87_005009 [[Candida] duobushaemulonis],402,402,57%,2.00E-129,64.2,XP_025337653.1
hypothetical protein CXQ85_004549 [[Candida] haemuloni],404,404,56%,2.00E-129,64.26,XP_025341971.1
uncharacterized protein CXQ87_001666 [[Candida] duobushaemulonis],407,407,56%,1.00E-127,65.09,XP_025334500.1
hypothetical protein CXQ85_004928 [[Candida] haemuloni],418,418,55%,4.00E-126,66.99,XP_025343300.1
uncharacterized protein CJI97_004173 [[Candida] auris],392,392,56%,2.00E-125,64.76,XP_028889034.1
uncharacterized protein CJI97_005649 [[Candida] auris],396,396,55%,2.00E-125,66.88,XP_028887965.1
hypothetical protein C7M61_004332 [[Candida] pseudohaemulonis],385,385,56%,1.00E-123,64.78,XP_024712323.1
hypothetical protein C7M61_005282 [[Candida] pseudohaemulonis],381,381,58%,1.00E-120,61.54,XP_024711259.1
uncharacterized protein CXQ87_005334 [[Candida] duobushaemulonis],377,377,58%,9.00E-119,60.92,XP_025335995.1
hypothetical protein C7M61_005119 [[Candida] pseudohaemulonis],385,385,58%,1.00E-115,59.7,XP_024711351.1
uncharacterized protein CXQ87_004674 [[Candida] duobushaemulonis],384,384,58%,2.00E-114,60.91,XP_025338053.1
uncharacterized protein CJI97_001778 [[Candida] auris],372,372,55%,2.00E-111,61.02,XP_028892406.1
uncharacterized protein CXQ87_005004 [[Candida] duobushaemulonis],365,365,59%,5.00E-109,56.8,XP_025337648.1
hypothetical protein C7M61_004327 [[Candida] pseudohaemulonis],354,561,59%,7.00E-104,57.1,XP_024712318.1
hypothetical protein CXQ85_005377 [[Candida] haemuloni],323,323,55%,1.00E-94,54.95,XP_025343289.1
hypothetical protein C7M61_001351 [[Candida] pseudohaemulonis],302,302,57%,2.00E-87,52.01,XP_024716363.1
hypothetical protein C7M61_005118 [[Candida] pseudohaemulonis],270,270,57%,1.00E-77,47.83,XP_024711350.1
hypothetical protein CXQ85_000013 [[Candida] haemuloni],264,264,57%,3.00E-74,46.93,XP_025341988.1
DEHA2G24970p [Debaryomyces hansenii CBS767],243,243,54%,2.00E-67,45.43,XP_462630.1
uncharacterized protein CXQ87_003607 [[Candida] duobushaemulonis],226,226,58%,1.00E-60,40.84,XP_025336698.1
DEHA2B01452p [Debaryomyces hansenii CBS767],227,227,59%,3.00E-60,42.44,XP_002770057.1
hypothetical protein CXQ85_004198 [[Candida] haemuloni],222,222,55%,8.00E-60,40.06,XP_025341634.1
uncharacterized protein CJI97_001451 [[Candida] auris],221,221,56%,2.00E-59,43.12,XP_028892087.1
uncharacterized protein CXQ87_005017 [[Candida] duobushaemulonis],222,222,57%,2.00E-58,42.99,XP_025335681.1
hypothetical protein C7M61_005183 [[Candida] pseudohaemulonis],218,218,58%,8.00E-58,40.12,XP_024711300.1
hypothetical protein CXQ85_002807 [[Candida] haemuloni],215,215,54%,1.00E-57,42.36,XP_025344020.1
uncharacterized protein CJI97_004515 [[Candida] auris],204,204,55%,6.00E-54,38.34,XP_028889361.1
hypothetical protein CXQ85_003765 [[Candida] haemuloni],202,202,55%,5.00E-52,37.65,XP_025344415.1
hypothetical protein C7M61_002963 [[Candida] pseudohaemulonis],198,198,55%,5.00E-51,37.7,XP_024713725.1
uncharacterized protein CXQ87_001485 [[Candida] duobushaemulonis],197,197,55%,2.00E-50,38.66,XP_025339494.1
uncharacterized protein CXQ87_003243 [[Candida] duobushaemulonis],184,184,54%,9.00E-47,36.09,XP_025336343.1
hypothetical protein C7M61_002453 [[Candida] pseudohaemulonis],181,181,58%,4.00E-45,35.26,XP_024713752.1
hypothetical protein CXQ85_003762 [[Candida] haemuloni],172,172,55%,9.00E-42,40.32,XP_025344412.1
hyphally regulated cell wall protein [Scheffersomyces stipitis CBS 6054],156,156,57%,7.00E-38,34.01,XP_001386379.2
hyphally regulated cell wall protein [Scheffersomyces stipitis CBS 6054],148,148,56%,8.00E-36,34.87,XP_001386767.2
hypothetical protein PICST_43205 [Scheffersomyces stipitis CBS 6054],148,148,57%,2.00E-35,32.36,XP_001383276.2
conserved hypothetical protein [Candida tropicalis MYA-3404],151,151,57%,3.00E-35,32.94,XP_002550900.1
hyphally regulated cell wall protein [Scheffersomyces stipitis CBS 6054],147,147,56%,6.00E-35,33.43,XP_001387297.2
conserved hypothetical protein [Candida tropicalis MYA-3404],149,149,58%,6.00E-34,34.08,XP_002547764.1
Hyr3p [Candida albicans SC5314],148,148,57%,1.00E-33,34.5,XP_714203.1
Rbr3p [Candida albicans SC5314],144,144,57%,2.00E-32,35.96,XP_711686.2
hyphally regulated cell wall protein [Scheffersomyces stipitis CBS 6054],142,142,57%,2.00E-32,32.76,XP_001385882.2
hyphally regulated cell wall protein Exo-alpha-sialidase [Scheffersomyces stipitis CBS 6054],137,137,57%,1.00E-31,31.04,XP_001386047.2
conserved hypothetical protein [Candida tropicalis MYA-3404],139,139,53%,4.00E-31,33.54,XP_002547617.1
predicted protein [Candida tropicalis MYA-3404],138,138,56%,1.00E-30,32.45,XP_002547615.1
uncharacterized protein DIURU_004257 [Diutina rugosa],133,133,55%,1.00E-30,31.4,XP_034010991.1
hyphally regulated cell wall protein [Scheffersomyces stipitis CBS 6054],131,131,56%,8.00E-30,31.07,XP_001387240.2
Iff4p [Candida albicans SC5314],136,136,57%,9.00E-30,31.21,XP_718630.1
Iff9p [Candida albicans SC5314],135,135,56%,2.00E-29,31.74,XP_717330.2
hypothetical protein PICST_91284 [Scheffersomyces stipitis CBS 6054],132,132,57%,5.00E-29,32.85,XP_001386404.2
uncharacterized protein DIURU_004501 [Diutina rugosa],128,128,50%,5.00E-29,32.99,XP_034010684.1
hyphally regulated cell wall protein [Scheffersomyces stipitis CBS 6054],129,129,55%,6.00E-29,32.42,XP_001385682.2
Iff6p [Candida albicans SC5314],131,131,56%,3.00E-28,31.96,XP_714246.2
"GPI-anchored protein of unknown function, putative [Candida dubliniensis CD36]",131,131,56%,3.00E-28,32.16,XP_002418802.1
"hyphally-regulated protein precursor, putative [Candida dubliniensis CD36]",131,131,56%,4.00E-28,30.84,XP_002421924.1
"Hyr1-like cell wall protein, putative [Candida dubliniensis CD36]",130,130,56%,4.00E-28,31.14,XP_002421951.1
"cell wall protein, putative [Candida dubliniensis CD36]",131,131,57%,5.00E-28,34.4,XP_002421505.1
